index,Hotel_Name,city,lat,lng,avg_rating,review_count,dataset_total_reviews,noise_sentiment,location_sentiment,cleanliness_sentiment,staff_sentiment,value_sentiment,quiet_positive_rate,quiet_negative_rate,crowded_positive_rate,crowded_negative_rate,quiet_net,crowded_net,city_center_lat,city_center_lng,distance_from_center_km,distance_percentile_within_city,distance_from_center_pct,distance_sweet_spot,centrality_score,log_review_count,hidden_score_base,city_hidden_percentile
10,AC Hotel Diagonal L Illa a Marriott Lifestyle Hotel,Barcelona,41.3899609,2.135684,0.6613279946613282,0.008676789587852495,0.024237685691946835,0.1925133689839572,0.1627778485401718,0.26317124591512847,0.23794536990953544,0.5880612118261401,0.0,0.0,0.0,0.0,0.21739130434782608,0.5,41.3825,2.1769,3.5371608006194353,0.8461538461538461,84.6,0.3076923076923077,0.15384615384615385,0.02394861461635454,0.3667037029763072,0.42788461538461536
11,AC Hotel Irla a Marriott Lifestyle Hotel,Barcelona,41.3948175,2.1434702,0.5305305305305308,0.002169197396963124,0.0015637216575449574,0.1925133689839572,0.43860399949051077,0.09752317691623907,0.14500687999531575,0.28868459489646875,0.0,0.0,0.0,1.0,0.21739130434782608,0.0,41.3825,2.1769,3.1069963525973687,0.7836538461538461,78.4,0.4326923076923077,0.21634615384615385,0.0015625003178915556,0.2374407390170916,0.009615384615384616
12,AC Hotel Milano a Marriott Lifestyle Hotel,Milan,45.4851799,9.1831189,0.47065247065247084,0.010845986984815618,0.03229686654237084,0.1327175498298493,0.2616462467450761,0.24932236140505432,0.2898676964924001,0.2060158245397527,0.0,0.36363636363636365,0.0,0.8181818181818181,0.09881422924901184,0.09090909090909094,45.4668,9.1905,2.1232363615266983,0.5246913580246914,52.5,0.9506172839506173,0.47530864197530864,0.031786287071035896,0.23961380672918453,0.037037037037037035
13,AC Hotel Paris Porte Maillot by Marriott,Paris,48.8820046,2.2818538,0.7057057057057057,0.013015184381778743,0.021651530642930173,0.3867576273993386,0.07148133995669341,0.22524550223443232,0.2661938875013794,0.28868459489646875,0.12820512820512822,0.0,0.0,0.0,0.3177257525083612,0.5,48.8535,2.3484,5.808462201026214,0.9955947136563876,99.6,0.008810572687224738,0.004405286343612369,0.021420465578931652,0.3590489531183869,0.34801762114537443
14,AC Hotel Sants a Marriott Lifestyle Hotel,Barcelona,41.3775577,2.1384686,0.4678362573099417,0.019522776572668113,0.03199615083899681,0.23432913835390615,0.3678504723576018,0.3210899662604131,0.11456971118164093,0.29675003730651484,0.08771929824561403,0.0,0.0,0.15789473684210525,0.2860411899313501,0.42105263157894735,41.3825,2.1769,3.253245404873867,0.7980769230769231,79.8,0.40384615384615374,0.20192307692307687,0.03149493724524161,0.2861233099067256,0.038461538461538464
15,AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Barcelona,41.3893478,2.1209755,0.6820570570570574,0.007592190889370933,0.019967522704035606,0.1925133689839572,0.21529741434212202,0.4902005717221371,0.4293334348118142,0.602519741621039,0.20833333333333334,0.0,0.0,0.0,0.3804347826086957,0.5,41.3825,2.1769,4.727317814562475,0.9471153846153846,94.7,0.10576923076923084,0.05288461538461542,0.01977078630302107,0.44259173127677076,0.8509615384615384
16,ADI Doria Grand Hotel,Milan,45.4853717,9.2115837,0.6531531531531531,0.033622559652928416,0.05130209899560955,0.27304956073338427,0.32716570739396256,0.18942497572525785,0.1808612215003795,0.31138498976143425,0.20833333333333334,0.0,0.0,0.0,0.3804347826086957,0.5,45.4668,9.1905,2.6395056002514212,0.6790123456790124,67.9,0.6419753086419753,0.32098765432098764,0.050029490169147026,0.3401474268102123,0.43209876543209874
17,ADI Hotel Poliziano Fiera,Milan,45.4837173,9.1649371,0.5664414414414416,0.024945770065075923,0.04402477897395802,0.30724865703857296,0.35951674945866763,0.36600804219630545,0.3862523768450812,0.38377409284875563,0.20833333333333334,0.0,0.0,0.125,0.3804347826086957,0.4375,45.4668,9.1905,2.7406918279265913,0.7098765432098766,71.0,0.5802469135802468,0.2901234567901234,0.04308322382816972,0.3794212840318316,0.7283950617283951
18,ARCOTEL Kaiserwasser Superior,Vienna,48.231915,16.417026,0.7015015015015016,0.020607375271149673,0.07301377277921453,0.21028934300993124,0.4460332017152805,0.25310380956238315,0.1706308370173025,0.5206266288627316,0.08333333333333334,0.0,0.0,0.0,0.2826086956521739,0.5,48.2084,16.3725,4.209351727338346,0.8503401360544217,85.0,0.2993197278911566,0.1496598639455783,0.07047129933432394,0.3881819998294815,0.564625850340136
19,ARCOTEL Wimberger,Vienna,48.2006001,16.3386333,0.6384384384384385,0.026030368763557483,0.11084380826366752,0.264555276656117,0.36823700120629066,0.38674433632434735,0.45034496417063774,0.4963348579572735,0.13333333333333333,0.0,0.0,0.0,0.32173913043478264,0.5,48.2084,16.3725,2.6554427780125174,0.6938775510204082,69.4,0.6122448979591837,0.30612244897959184,0.10511991415290621,0.42475164448010216,0.782312925170068
